"","5S15SdiHETE 235","5S15SdiHETE 115","RvE3 275","LTB4 195","RvE4 235","RvE3 201","RvE2 199","RvE2 159","RvE1 161","RvE4 115","PGE2 189","PGE2 175","PGD2 189","PGF2a 193","RvE1 195","RvD1 233","RvD1n3dpa 143","RvD1n3dpa 215","RvT1n3dpa 193","RvD4 101","RvD4 225","RvT3n3dpa 173","RvT1n3dpa 211","RvT2n3dpa 255","RvD1 215","RvT3n3dpa 197","RvT2n3dpa 197","20OHLTB4 195","20COOHLTB4 195","15epiLXA4 217","15epiLXA4 115","LXA4 217","LXB4 115","15epiLXB4 115","LXA4 115","TXB2 169","15epiLXB4 221","LXB4 221","10SEZE17SdiHDPA 155","PD1 137","10SEZE17SdiHDHA 153","10SEZE17SdiHDPA 183","7SEZE14SdiHDHA 221","10SEZE17SdiHDHA 137","PD1 153","17RPD1 137","4S14SdiHDHA 159","PD1n3dpa 155","MaR1 177","7SEZE14SdiHDHA 177","RvD5n3dpa 143","ZEE13S14SdiHDHA 221","17RPD1 153","RvD5 199","MaR1 221","PD1n3dpa 183","RvD5n3dpa 199","RvD5 141","MaR2 221","RvT4n3dpa 211","MaR1n3dpa 223","RvD6 101","MaR2 191","4S14SdiHDHA 101","ZEE13S14SdiHDHA 191","RvD6 159","RvT4n3dpa 193","PD2n3dpa 263","MaR2n3dpa 223","MaR2n3dpa 193","PD2n3dpa 233","22OHMaR1 221","22OHPD1n3dpa 155","22OHMaR1 177","RvD2n3dpa 261","RvD2 215","22OHPD1n3dpa 183","RvD2 141","RvD2n3dpa 233","RvD3 147","RvD3 137"
"RL1",252.775,27.518,0.906,0,0.031,2.067,4.594,3.676,0.062,0.628,5.517,1.716,24.089,5.594,0,0.089,0.268,1.189,0.174,0.294,0.177,0.046,0.16,2.751,0.04,0.023,2.288,0,0,5.923,3.132,5.901,2.599,0,0.436,0.046,1.096,0.269,0.102,1.56,4.359,0.103,2.663,1.318,1.254,0.579,0.912,0.022,0.462,1.258,0.21,0.052,0.346,1.21,1.306,0.063,0.275,0.491,1.074,0.887,2.325,1.506,3.984,1.563,0.023,0.175,6.172,0.044,0.327,1.45,0.065,1.586,0.014,0.18,0.318,0.881,0,0.23,4.166,0.116,0.336
"RF1",177.196,19.651,1.995,0,0.869,0.882,2.532,2.132,0.02,0.366,4.999,1.614,20.435,2.938,0,0,0.752,0.956,0.711,0.786,0.396,0.12,0.905,0.356,0,0.223,2.667,0,7.785,8.658,5.954,10.789,17.354,0,0.488,0.926,1.585,1.347,0.087,1.117,4.029,0.203,7.534,1.25,1.233,0.418,0.878,0.024,2.105,0,0.514,0.457,0.278,1.218,1.075,0.163,0.622,0.596,1.125,1.004,5.367,1.408,1.309,1.628,0.974,0.229,7.846,0.048,0.452,0.547,0.119,2.24,0.013,0.207,0.09,0,0,0.133,1.128,0.126,0.275
"RA1",246.336,28.413,1.326,0,1.278,1.266,1.857,1.625,0.039,0.474,5.039,1.463,20.337,4.2,0,0.174,0.344,0.312,0.165,0.136,0.149,0.064,0.28,3.696,0.072,0.051,2.089,0,0,7.823,4.22,7.432,NA,0,0.506,0.087,1.445,0.415,0.146,1.662,5.421,0.216,1.857,1.42,1.348,0.373,0.86,0.018,0.638,1.127,0.297,0.065,0.304,1.532,0.591,0.211,0.578,0.484,1.129,1.7,2.766,1.368,3.425,1.254,0.493,0.211,5.296,0.063,0.475,1.426,0.042,1.694,0.017,0.158,0.289,0.859,0,0.216,4.371,0.121,0.26
"RV1",245.104,29.704,1.644,0,0.072,0,2.138,1.711,0.016,0.516,5.907,1.802,25.32,6.529,0.137,0.168,0.33,0.356,0.173,0.16,0.244,0.007,0.26,1.249,0.086,0,1.967,0,0,6.726,3.713,6.829,3.675,0,0.486,0.069,1.445,0.391,0.057,1.506,6.626,0.331,3.013,2.067,1.43,0.452,0.899,0.215,0.387,0.936,0.327,0.491,0.316,1.782,1.58,0.181,0.596,0.633,1.124,1.615,4.593,1.467,4.279,1.503,0.776,0.187,6.847,0.038,0.429,1.108,0.093,1.372,NA,0.194,0.159,0.801,0,0.234,3.668,0.161,0.396
"RL4",184.296,22.563,2.631,0,0.043,0.927,2.673,1.847,0.061,0.957,8.464,2.705,27.665,3.335,0,0.109,0.563,0.406,0.458,0.263,0.569,0.066,0.668,0.089,0.057,0.233,0,0.164,0,12.441,7.325,13.117,15.649,0,0.559,0.899,1.569,1.957,0.012,0.67,2.119,0.179,5.273,1.144,1.119,0.165,0.512,0.022,1.093,0.782,0.227,0.052,0.121,0.661,0.677,0.103,0.27,0.892,0.954,0.409,3.203,0.655,2.798,0.73,0.278,0.157,5.701,0.03,0.489,1.92,0.039,1.143,0.014,0.417,0.182,0.951,0,0.293,0.809,0.205,0.34
"RF4",138.694,19.669,1.767,0,0.891,1.784,2.029,1.774,0.054,0.687,5.034,1.506,20.807,2.122,0,0.119,0.736,0.9,0.283,0.196,0.117,0.123,0.423,8.392,0,0,0,0.205,7,15.435,9.373,16.387,7.835,0,0.788,0,1.795,1.604,0.07,1.216,2.042,0.341,3.388,0.991,0.978,0.175,0.423,0.042,0.493,0.745,0.277,0.201,0.165,0.756,0.496,0.202,0.422,0.24,0.86,0.732,5.456,0.711,2.713,0.397,NA,0.022,21.649,0.027,0.532,1.126,0.112,1.608,0.022,1.436,0.045,0,0,0.129,1.48,0.103,0.199
"RA4",127.54,19.58,2.684,0,0.873,1.12,0.83,1.861,0.054,0.629,5.568,1.742,22.809,3.483,0,0.062,0.397,0.749,0.105,0.254,0.056,0.08,0.19,3.909,0,0,0,0.072,0,9.104,4.81,8.992,3.048,0,0.523,0,1.542,0.407,0.077,0.894,1.989,0.221,1.699,0.763,0.938,0.276,0.291,0.019,1.11,0.943,0.269,0.037,0.211,0.549,0.523,0.3,0.37,0.687,0.824,0.458,3.092,0.675,2.809,0.581,0.197,0.164,13.731,0.029,0.415,0.82,0.06,2.269,0.011,0.673,0.244,0.654,0,0.062,1.687,0.1,0.424
"RV4",131.026,17.525,1.996,0,0.878,0.923,1.473,1.589,0.075,0.723,7.509,2.378,24.2,6.186,0,0,0.645,0.659,0.392,0.323,0.354,0.159,0.773,1.593,0,0.053,0,0.194,0,12.289,7.763,11.808,10.896,0,0.724,1.427,1.674,1.933,0.055,0.85,1.776,0.176,3.778,1.073,1.155,0.217,0.646,0.039,0.138,0,0.26,0.152,0.178,0.634,0.486,0.236,0.322,0.67,1.096,0.698,4.61,0.599,1.576,0.637,0.019,0.091,27.23,0.02,0.406,0.561,0,1.811,0.036,0.192,0.206,1.309,0,0.189,2.188,0.116,0.286
"RL24",37.497,7.682,1.585,0,0.516,0.629,15.722,22.881,0.106,0.32,190.03,59.654,732.427,44.237,0,0,0.508,3.512,0.618,1.649,0.195,0.186,0.785,0.099,0,0.137,2.473,0.948,0,9.431,7.015,15.729,NA,0,0.854,7.585,1.608,11.271,0.307,0.292,0.817,0.201,2.079,0.312,0.194,0.155,0.098,0.026,0.354,0.457,1.015,0.194,0.135,0.209,0,0.158,0.762,0.234,0.433,4.282,6.908,0.17,0.541,0.239,0.154,0.033,28.852,0.048,0.172,2.297,0.197,2.294,0.027,0.837,0.75,2.57,0.247,0.297,1.078,0.519,0.743
"RF24",26.61,8.698,1.035,0,0.187,1.051,1.3,2.325,0.045,1.078,26.293,7.885,100.073,25.239,0,0.067,0.428,2.721,0.285,0.959,0.48,0.234,0.346,2.079,0.069,0,2.743,0.363,12.185,6.226,4.256,6.008,6.934,0,0.757,0.666,1.982,1.307,0.026,0.108,0.485,0.128,1.501,0.073,0.133,0.207,0.202,0.01,0.636,0,0.056,0.161,0.06,0.059,0.82,0.174,0.171,0.059,0.46,0.195,2.97,0,0.825,0.202,0.031,0.061,8.65,0.33,0.089,1.346,0.111,1.293,0.022,0.49,0.304,1.703,0.463,0.047,0,0.088,0.342
