Mediators,Conv_Coef
d85SHETE 116,21237
d4LTB4 197,19108
d5MaR1 177,9553
d5MaR2 177,6511
d4PGE2 193,123563
d5LXA4 115,35473
d5RvD3 147,5387
d5RvD2 141,11277
d4RvE1 197,14414
d517RRvD1 141,46485
RvD1 215,29965
RvD1 233,24018
17RRvD1 215,29965
17RRvD1 233,24018
RvD2 215,6357
RvD2 141,27275
RvD3 147,182635
RvD3 137,31658
17RRvD3 147,182635
17RRvD3 137,31658
RvD4 101,59543
RvD4 225,9229
RvD5 199,43338
RvD5 141,25122
RvD6 159,43338
RvD6 101,25122
PD1 153,57775
PD1 137,13388
10S17SdiHDHA 137,13388
10S17SdiHDHA 153,57775
10SEZE17SdiHDHA 137,13388
10SEZE17SdiHDHA 153,57775
10SEEE17SdiHDHA 137,13388
10SEEE17SdiHDHA 153,57775
22OHPD1 153,19157
22OHPD1 137,2698
17RPD1 153,57775
17RPD1 137,13388
MaR1 221,4790
MaR1 177,14265
7S14SdiHDHA 177,14265
7S14SdiHDHA 221,4790
7SEZE14SdiHDHA 177,14265
7SEZE14SdiHDHA 221,4790
7SEEE14SdiHDHA 177,14265
7SEEE14SdiHDHA 221,4790
MaR2 191,4939
MaR2 221,17556
22OHMaR1 221,4790
22OHMaR1 177,14265
22COOHMaR1 ,14265
14oxoMaR1 248,14265
4S14SdiHDHA 159,14265
4S14SdiHDHA 101,25122
4SEZE14SdiHDHA 159,14265
4SEZE14SdiHDHA 101,25122
4SEEE14SdiHDHA 159,14265
4SEEE14SdiHDHA 101,25122
RvT1 211,38295
RvT1 193,21809
RvT2 197,38295
RvT3 197,38295
RvT3 173,38295
RvT4 211,28427
RvT4 193,15638
RvT2isomer ,38295
RvD1n3dpa 143,53499
RvD1n3dpa 215,20327
RvD2n3dpa 233,6906
RvD2n3dpa 261,29398
RvD5n3dpa 199,24136
RvD5n3dpa 143,36377
RvD5n3dpa 263,21675
PD1n3dpa 183,57775
PD1n3dpa 155,57775
PD2n3dpa 233,42970
PD2n3dpa,42970
10S17SdiHDPA 183,57775
10S17SdiHDPA 155,57775
10SEZE17SdiHDPA 183,57775
10SEZE17SdiHDPA 155,57775
10SEEE17SdiHDPA 183,57775
10SEEE17SdiHDPA 155,57775
22OHPD1n3dpa 183,19157
MaR1n3dpa 223,4790
MaR2n3dpa 193,8148
MaR2n3dpa 223,42970
7S14SdiHDPA 223,4790
7S14SdiHDPA 205,4790
7SEZE14SdiHDPA 223,4790
7SEZE14SdiHDPA 205,4790
7SEEE14SdiHDPA 223,4790
7SEEE14SdiHDPA 205,4790
RvE1 161,16998
RvE1 195,22551
RvE2 159,9029
RvE2 199,5086
RvE3 201,16699
RvE3 275,2782
RvE4 115,23786
LXA4 115,47060
LXA4 217,18409
LXB4 221,17692
LXB4 115,3126
5S15SdiHETE 115,23786
5S15SdiHETE 235,5400
5SEZE15SdiHETE 115,23786
5SEZE15SdiHETE 235,5400
5SEEE15SdiHETE 115,23786
5SEEE15SdiHETE 235,5400
1314dehydro-5oxoLXA4 217,18409
1314dehydro15oxoLXA5 115,47060
15oxoLXA4 115,47060
15LXA4 217,18409
15LXA4 115,47060
15epiLXA4 217,18409
15epiLXA4 115,47060
15LXB4 115,3126
15LXB4 221,17692
15epiLXB4 115,3126
15epiLXB4 221,17692
LTB4 195,50511
5S12SdiHETE 195,50511
5SEZE12SdiHETE 195,50511
5SEEE12SdiHETE 195,50511
6transLTB4 195,50511
6trans12epi LTB4 195,50511
20OHLTB4 195,33514
20COOHLTB4 195,33514
PGE2 189,188778
PGD2 189,38654
PGF2a 193,92125
TXB2 169,81554
17HDPA 247,39757
14HDPA 207,46586
13HDPA 195,97954
7HDPA 143,49587
DPA 285,32849
17HDHA 245,39757
14HDHA 205,46586
13HDHA 193,97954
7HDHA 141,49587
4HDHA 101,93639
DHA 283,58063
18HEPE 259,40125
15HEPE 219,47848
12HEPE 179,52971
11HEPE 167,61227
5HEPE 115,71293
EPA 257,54544
20HETE 301,50896
15HETE 219,52600
12HETE 179,62187
11HETE 167,144168
5HETE 115,79216
AA 259,31177
