Metabolite,Internal Standard
d85SHETE 116,d85SHETE 116
d4LTB4 197,d4LTB4 197
d5MaR1 177,d5MaR1 177
d5MaR2 177,d5MaR2 177
d4PGE2 193,d4PGE2 193
d5LXA4 115,d5LXA4 115
d5RvD3 147,d5RvD3 147
d5RvD2 141,d5RvD2 141
d4RvE1 197,d4RvE1 197
d517RRvD1 141,d517RRvD1 141
RvD1 215,d517RRvD1
RvD1 233,d517RRvD1
17RRvD1 215,d517RRvD1
17RRvD1 233,d517RRvD1
RvD2 215,d5RvD2
RvD2 141,d5RvD2
RvD3 147,d5RvD3
RvD3 137,d5RvD3
17RRvD3 147,d5RvD3
17RRvD3 137,d5RvD3
RvD4 101,d517RRvD1
RvD4 225,d517RRvD1
RvD5 199,d5MaR1
RvD5 141,d5MaR1
RvD6 159,d5MaR1
RvD6 101,d5MaR1
PD1 153,d5MaR1
PD1 137,d5MaR1
10S17SdiHDHA 137,d5MaR1
10S17SdiHDHA 153,d5MaR1
10SEZE17SdiHDHA 137,d5MaR1
10SEZE17SdiHDHA 153,d5MaR1
10SEEE17SdiHDHA 137,d5MaR1
10SEEE17SdiHDHA 153,d5MaR1
22OHPD1 153,d5RvD2
22OHPD1 137,d5RvD2
17RPD1 153,d5MaR1
17RPD1 137,d5MaR1
MaR1 221,d5MaR1
MaR1 177,d5MaR1
7S14SdiHDHA 177,d5MaR1
7S14SdiHDHA 221,d5MaR1
7SEZE14SdiHDHA 177,d5MaR1
7SEZE14SdiHDHA 221,d5MaR1
7SEEE14SdiHDHA 177,d5MaR1
7SEEE14SdiHDHA 221,d5MaR1
MaR2 191,d5MaR2
MaR2 221,d5MaR2
22OHMaR1 221,d5RvD2
22OHMaR1 177,d5RvD2
22COOHMaR1 ,d4RvE1
14oxoMaR1 248,d5MaR1
4S14SdiHDHA 159,d5MaR1
4S14SdiHDHA 101,d5MaR1
RvT1 211,d517RRvD1
RvT1 193,d517RRvD1
RvT2 197,d517RRvD1
RvT3 197,d517RRvD1
RvT3 173,d517RRvD1
RvT4 211,d5MaR1
RvT4 193,d5MaR1
RvT2isomer ,d517RRvD1
RvD1n3dpa 143,d517RRvD1
RvD1n3dpa 215,d517RRvD1
RvD2n3dpa 233,d5RvD2
RvD2n3dpa 261,d5RvD2
RvD5n3dpa 199,d5MaR1
RvD5n3dpa 143,d5MaR1
RvD5n3dpa 263,d5MaR1
PD1n3dpa 183,d5MaR1
PD1n3dpa 155,d5MaR1
PD2n3dpa 233,d5MaR2
PD2n3dpa,d5MaR2
10S17SdiHDPA 183,d5MaR1
10S17SdiHDPA 155,d5MaR1
10SEZE17SdiHDPA 183,d5MaR1
10SEZE17SdiHDPA 155,d5MaR1
10SEEE17SdiHDPA 183,d5MaR1
10SEEE17SdiHDPA 155,d5MaR1
22OHPD1n3dpa 183,d5RvD2
MaR1n3dpa 223,d5MaR1
MaR2n3dpa 193,d5MaR2
MaR2n3dpa 223,d5MaR2
7S14SdiHDPA 205,d5MaR1
7S14SdiHDPA 223,d5MaR1
7SEZE14SdiHDPA 205,d5MaR1
7SEZE14SdiHDPA 223,d5MaR1
7SEEE14SdiHDPA 205,d5MaR1
7SEEE14SdiHDPA 223,d5MaR1
RvE1 161,d85SHETE
RvE1 195,d85SHETE
RvE2 159,d4LTB4
RvE2 199,d4LTB4
RvE3 201,d4LTB4
RvE3 275,d4LTB4
RvE4 115,d4LTB4
LXA4 115,d5LXA4
LXA4 217,d5LXA4
LXB4 221,d5LXA4
LXB4 115,d5LXA4
5S15SdiHETE 115,d4LTB4
5S15SdiHETE 235,d4LTB4
1314dehydro-5oxoLXA4 217,d5LXA4
1314dehydro15oxoLXA5 115,d5LXA4
15oxoLXA4 115,d5LXA4
15LXA4 217,d5LXA4
15LXA4 115,d5LXA4
15epiLXA4 217,d5LXA4
15epiLXA4 115,d5LXA4
15LXB4 115,d5LXA4
15LXB4 221,d5LXA4
15epiLXB4 115,d5LXA4
15epiLXB4 221,d5LXA4
LTB4 195,d4LTB4
5S12SdiHETE 195,d4LTB4
5SEZE12SdiHETE 195,d4LTB4
5SEEE12SdiHETE 195,d4LTB4
6transLTB4 195,d4LTB4
6trans12epi LTB4 195,d4LTB4
20OHLTB4 195,d5LXA4
20COOHLTB4 195,d5LXA4
PGE2 189,d4PGE2
PGD2 189,d4PGE2
PGF2a 193,d4PGE2
TXB2 169,d4PGE2
17HDPA 247,d85SHETE
14HDPA 207,d85SHETE
13HDPA 195,d85SHETE
7HDPA 143,d85SHETE
DPA 285,d85SHETE
17HDHA 245,d85SHETE
14HDHA 205,d85SHETE
13HDHA 193,d85SHETE
7HDHA 141,d85SHETE
4HDHA 101,d85SHETE
DHA 283,d85SHETE
18HEPE 259,d85SHETE
15HEPE 219,d85SHETE
12HEPE 179,d85SHETE
11HEPE 167,d85SHETE
5HEPE 115,d85SHETE
EPA 257,d85SHETE
20HETE 301,d85SHETE
15HETE 219,d85SHETE
12HETE 179,d85SHETE
11HETE 167,d85SHETE
5HETE 115,d85SHETE
AA 259,d85SHETE
d5LTC4 194,d5LTC4 194
d5LTD4 194,d5LTD4 194
d5LTE4 194,d5LTE4 194
PCTR1 231,d5LTC4 194
PCTR1 213,d5LTC4 194
PCTR2 231,d5LTD4 194
PCTR2 213,d5LTD4 194
PCTR3 231,d5LTE4 194
PCTR3 213,d5LTE4 194
MCTR1 191,d5LTC4 194
MCTR1 173,d5LTC4 194
MCTR2 191,d5LTD4 194
MCTR2 173,d5LTD4 194
MCTR3 191,d5LTE4 194
MCTR3 173,d5LTE4 194
LTC4 189,d5LTC4 194
LTC4 301,d5LTC4 194
LTD4 189,d5LTD4 194
LTD4 301,d5LTD4 194
LTE4 189,d5LTE4 194
LTE4 301,d5LTE4 194
