Metabolite,Fatty_Acid
RvD1,DHA
X17R.RvD1,DHA
RvD2,DHA
RvD3,DHA
X17R.RvD3,DHA
RvD4,DHA
RvD5,DHA
RvD6,DHA
PD1,DHA
X10S.17S.diHDHA,DHA
X10S.EZE.17S.diHDHA,DHA
X10S.EEE.17S.diHDHA,DHA
X22.OH.PD1,DHA
X17R.PD1,DHA
MaR1,DHA
X7S.14S.diHDHA,DHA
X7S.EZE.14S.diHDHA,DHA
X7S.EEE.14S.diHDHA,DHA
MaR2,DHA
X22.OH.MaR1,DHA
X22.COOH.MaR1,DHA
X14.oxo.MaR1,DHA
X4S.14S.diHDHA,DHA
X4S.EZE.14S.diHDHA,DHA
X4S.EEE.14S.diHDHA,DHA
MCTR1,DHA
MCTR2,DHA
MCTR3,DHA
PCTR1,DHA
PCTR2,DHA
PCTR3,DHA
RvT1,n3DPA
RvT2,n3DPA
RvT3,n3DPA
RvT4,n3DPA
RvT2isomer,n3DPA
RvD1n.3.dpa,n3DPA
RvD2n.3.dpa,n3DPA
RvD5n.3.dpa,n3DPA
PD1n.3.dpa,n3DPA
PD2n.3.dpa,n3DPA
X10S.17S.diHDPA,n3DPA
X10S.EZE.17S.diHDPA,n3DPA
X10S.EEE.17S.diHDPA,n3DPA
X22.OH.PD1n.3.dpa,n3DPA
MaR1n.3.dpa,n3DPA
MaR2n.3.dpa,n3DPA
X7S.14S.diHDPA,n3DPA
X7S.EZE.14S.diHDPA,n3DPA
X7S.EEE.14S.diHDPA,n3DPA
RvE1,EPA
RvE2,EPA
RvE3,EPA
RvE4,EPA
LXA4,AA
LXB4,AA
X5S.12S.diHETE,AA
X5S.EZE.12S.diHETE,AA
X5S.EEE.12S.diHETE,AA
X5S.15S.diHETE,AA
X5S.EZE.15S.diHETE,AA
X5S.EEE.15S.diHETE,AA
X13.14.dehydro.15.oxo.LXA5,AA
X15.oxo.LXA4,AA
X15.LXA4,AA
X15.epi.LXA4,AA
X15.LXB4,AA
X15.epi.LXB4,AA
LTB4,AA
LTC4,AA
LTD4,AA
LTE4,AA
X6.trans.LTB4,AA
X6.trans.12.epi.LTB4,AA
X20.OH.LTB4,AA
X20.COOH.LTB4,AA
PGE2,AA
PGD2,AA
PGF2a,AA
TXB2,AA
X17.HDPA,n3DPA
X14.HDPA,n3DPA
X13.HDPA,n3DPA
X7.HDPA,n3DPA
DPA,n3DPA
X17.HDHA,DHA
X14.HDHA,DHA
X13.HDHA,DHA
X7.HDHA,DHA
X4.HDHA,DHA
DHA ,DHA
X18.HEPE,EPA
X15.HEPE,EPA
X12.HEPE,EPA
X11.HEPE,EPA
X5.HEPE,EPA
EPA,EPA
X20.HETE,AA
X15.HETE,AA
X12.HETE,AA
X11.HETE,AA
X5.HETE,AA
AA,AA
